"timesignature","beatdifMedian","beatdifrange","beatdif80perc","beatdifvariance","beatdifstdev","T1Median","T1min","T1max","T180perc","T1mean","T1stdev","T2min","T2max","T280perc","T2mean","T3Median","T3min","T3range","T3mean","T3variance","T3stdev","T4Median","T4range","T480perc","T4kurtosis","T580perc","T5stdev","T6min","T6range","T6variance","T7variance","T7kurtosis","T8Median","T8range","T8stdev","T8kurtosis","T9Median","T9max","T9mean","T9skewness","T9kurtosis","T10variance","T10stdev","T10skewness","T10kurtosis","T11variance","T12Median","T12kurtosis","Topclass1030"
4,-0.789352,-0.767296,-0.807123,-0.283833,-0.495168,0.317898,-0.716364,0.859354,0.396685,0.329385,0.258431,-0.753947,0.026907,-0.587153,-0.690027,-1.08531,0.50493,-0.670329,-0.844977,-0.455984,-0.399092,-0.504196,-0.169871,-0.245948,-0.407227,-0.027208,-0.55077,-0.057053,-0.612214,0.134729,-0.585263,-0.762726,0.105942,-0.130839,0.292701,-0.271261,0.10059,0.299281,0.186592,0.527206,0.069546,-0.079159,0.024375,-0.084049,-0.394535,0.062192,0.56354,-0.563288,1
4,1.692514,-0.745909,1.610135,-0.281818,-0.457765,0.912692,0.84592,0.685196,0.83909,0.590503,0.898388,-2.524733,-1.162788,0.312458,-0.459467,-1.533736,-1.011929,-0.1239,-1.252711,-0.476016,-0.423086,-0.845711,-0.278236,-0.37914,-0.404293,-1.054384,-0.937806,0.136002,0.332282,1.648638,1.049385,0.726256,-0.361554,0.827788,1.267805,-0.242622,-1.9831,-1.394842,-1.901236,1.068926,0.82837,0.515822,0.668042,0.204457,-0.519739,1.110269,2.431366,-0.177507,1
3,1.568861,1.77268,1.496439,-0.029216,0.502062,0.277658,1.341529,0.369622,0.288726,0.378573,-0.575262,-1.043591,0.410501,-0.70338,-0.652034,0.708629,0.641224,-0.478236,0.765858,0.057354,0.17286,0.486989,1.828263,0.17072,0.191246,-0.501575,1.133948,-3.238919,3.402176,-0.082386,0.454212,-0.004363,-0.036722,0.898329,0.162717,0.485845,0.861636,0.496639,0.850244,-0.428342,1.031176,0.151739,0.284988,-0.111947,-0.189736,-0.048007,0.199344,-0.109693,1
4,1.5482,0.619314,1.468154,-0.25481,-0.21712,0.710693,-0.645182,0.273934,0.634593,0.663794,0.606558,-0.248977,0.014677,0.080043,0.441267,-0.242408,-1.082834,1.421906,0.093039,0.15791,0.276674,-0.332873,-0.160798,-0.730936,-0.040487,0.256807,0.068165,-0.336265,0.271358,-0.153704,-0.970062,0.576831,0.341848,-1.144978,-1.1727,-0.374284,0.019673,-0.267045,-0.080072,0.197531,0.188416,-0.41728,-0.38874,-0.287763,-0.977819,-0.17908,-0.768349,2.995053,1
4,-0.394781,-0.606845,-0.423502,-0.281563,-0.453689,-1.084321,-0.766505,-1.880605,-1.400812,-1.006198,-0.857821,0.442412,-0.248427,0.550137,0.911344,0.781864,0.953044,-0.021294,0.974891,-0.59587,-0.569811,-0.488364,0.710066,-0.514641,1.049038,0.736557,-0.301042,0.193965,-0.581166,-0.538854,-0.110126,-0.13496,0.722658,-0.109163,-0.474882,0.194909,-0.19316,-0.036464,-0.268347,-0.365234,0.422471,-0.370999,-0.329633,0.564447,-0.019306,-0.588103,-0.396331,-0.353864,1
4,-0.428814,-0.399209,-0.454754,-0.272615,-0.348935,0.396091,1.210372,0.419583,0.377686,0.281246,0.06072,-0.062317,0.943983,0.166411,0.284985,-0.265089,-1.362653,1.872517,-0.145441,1.963274,1.852925,-1.07598,2.178373,-0.139022,-0.300234,0.802852,0.866253,-2.689767,1.88476,0.127672,0.253912,-0.113544,0.053642,-0.041201,-0.09796,-0.222246,-0.374938,1.040986,-0.23604,0.825459,0.433692,-0.149713,-0.058478,-0.878193,-0.122225,0.370858,0.041357,-0.151365,1
4,-0.454036,-0.617011,-0.482986,-0.282007,-0.460858,0.324757,2.360318,0.546039,0.500754,0.525882,-0.768968,-0.245344,0.564422,1.491762,1.107138,0.76701,0.258762,2.025194,0.85293,2.1715,2.00976,-0.676332,0.260425,-0.096643,-0.480621,0.523073,0.774298,-0.262506,-0.018874,0.934764,1.413867,-1.548844,-0.170749,-0.916237,-0.019244,-0.644143,-0.628129,0.308928,-0.666716,-0.218708,-0.5262,-0.38922,-0.352797,-0.301913,-0.641441,1.828459,0.456181,0.046789,1
4,-0.328595,-0.626026,-0.361869,-0.281832,-0.457987,0.374371,-0.734179,0.443576,0.378584,0.521129,-0.640005,0.652343,-0.904145,-0.317881,-0.039088,-0.482372,0.912207,-1.52238,-0.348298,-0.814577,-0.853251,-0.250675,-1.30477,-0.497706,-0.504972,-0.020323,0.010308,-0.377045,1.563709,-0.263392,0.727587,-0.899638,-0.367471,-0.362537,-0.00594,-0.559185,0.82951,-0.730827,0.95714,0.378195,-1.08523,-0.446626,-0.42669,-0.099882,-0.643007,-0.038053,0.108059,0.007182,1
4,-0.458553,-0.39777,-0.475095,-0.258218,-0.238661,0.971566,-0.767956,0.216069,0.69483,1.068393,-0.457962,0.780269,-0.970711,-0.122409,0.189368,-0.091585,-0.261357,-0.544692,-0.044595,-1.160285,-1.354994,-0.818288,2.714414,-0.837888,2.077267,-1.197276,-1.129147,-0.250489,-0.216408,-0.945734,-0.747443,-0.264953,-0.199778,0.13285,-0.373262,0.011293,-0.554374,1.072357,-0.596236,0.823968,0.825393,-0.215457,-0.137178,-0.108201,-0.56289,-0.485332,-0.043826,2.731356,1
5,-0.448893,1.181323,-0.008767,0.295672,1.060456,-0.402417,-0.767956,-0.284389,-0.35693,-0.416715,-0.037713,0.021093,-0.225185,-1.335735,-1.48215,-0.487721,0.325601,-0.438204,-0.318268,0.05986,0.175476,0.234634,0.255918,0.065152,-0.224006,-1.440154,0.34729,0.579233,-0.609627,-0.168882,-0.382804,-0.967802,1.016701,-0.597969,-0.407596,-0.208316,1.633256,4.035729,1.858567,1.031525,1.015191,-0.278178,-0.213684,0.374541,-0.636202,-0.089234,1.222308,-0.226264,1
