"timesignature","beatdifMedian","beatdifrange","beatdif80perc","beatdifvariance","beatdifstdev","T1Median","T1min","T1max","T180perc","T1mean","T1stdev","T2min","T2max","T280perc","T2mean","T3Median","T3min","T3range","T3mean","T3variance","T3stdev","T4Median","T4range","T480perc","T4kurtosis","T580perc","T5stdev","T6min","T6range","T6variance","T7variance","T7kurtosis","T8Median","T8range","T8stdev","T8kurtosis","T9Median","T9max","T9mean","T9skewness","T9kurtosis","T10variance","T10stdev","T10skewness","T10kurtosis","T11variance","T12Median","T12kurtosis","Topclass1030"
4,-0.426354,0.159924,-0.430311,-0.201989,0.029204,-0.054548,0.476469,-0.165555,-0.140664,-0.149373,0.579491,0.607992,0.827081,-0.593611,-0.294945,-0.635947,-0.495767,0.196276,-0.755513,-0.579774,-0.549778,0.627285,1.803337,0.783923,-0.286284,0.400322,-0.591773,-2.697516,1.258945,0.493181,-0.528622,0.925451,0.709383,1.622012,0.267398,0.291237,0.039886,0.459199,0.304521,0.942847,0.897191,0.224833,0.364433,-0.57692,0.409746,0.783243,-0.350775,-0.429391,1
1,-0.425639,0.803453,-0.447282,-0.173888,0.127218,-0.068266,1.207067,-0.278461,-0.287069,-0.004014,-1.081846,-0.449894,-0.281908,-0.842498,-0.548489,0.769059,-0.588827,0.170167,0.297802,0.525187,0.637632,0.426842,1.139433,0.230062,-0.1993,-0.968924,-0.693877,-2.381738,2.06839,0.28392,0.063909,-0.595224,-0.722371,-0.231437,0.759897,-0.377662,-1.079563,-0.461976,-0.861584,1.584726,-0.141996,0.280368,0.423894,-0.197576,-0.741571,0.418951,-0.446874,-0.251202,1
4,-0.36303,-0.642618,-0.398657,-0.277881,-0.403862,-0.7025,-0.767956,-1.392002,-0.956162,-0.618242,-0.536665,1.166365,-0.970711,-0.418569,-0.122595,1.8465,1.251458,-1.323057,1.676927,-0.526164,-0.483805,0.983501,-1.955202,0.025099,-0.535376,0.66632,-0.156816,0.70171,-1.632796,-0.925146,-0.08292,0.015317,0.229253,-1.160051,-1.01894,-0.033515,-0.968328,-0.088535,-1.023454,-0.256651,0.033983,-1.14189,-1.472748,0.216992,-0.737004,-1.089424,-0.372608,-0.218271,1
4,-0.513649,-0.599269,-0.535959,-0.278743,-0.41436,-1.525701,0.100812,-2.2786,-1.840325,-1.620196,-0.280541,0.737007,-0.622309,-0.199309,0.156829,1.209619,1.071601,-0.904443,1.177241,-0.439144,-0.37903,-0.528898,-1.433446,-0.809883,-0.434602,-0.411026,-1.314925,0.530078,0.100096,-0.877519,0.429235,-0.593368,-0.31941,-1.446905,-0.97531,-0.447027,-0.286927,-0.397446,-0.187961,0.428083,-0.485332,-0.947447,-1.144689,1.5075,0.581671,-0.637289,-1.136671,-0.36995,1
4,-0.492764,-0.532997,-0.51705,-0.276868,-0.392195,-1.658309,-0.745546,-2.436105,-1.959553,-1.677934,0.139534,0.009154,-0.145944,-0.352238,-0.131275,0.555581,0.71725,-1.564306,0.398368,-1.115422,-1.285283,-0.400795,-1.138169,-0.53107,-0.470213,-0.246686,-0.598829,0.402299,-0.977504,-0.668659,-0.575376,-0.053552,-0.088542,-0.741919,-0.357391,-0.501246,-0.517697,-0.049242,-0.454725,0.375415,-0.396752,-0.371268,-0.329973,-0.066839,-0.613983,-0.625378,-0.274704,0.892449,1
4,-0.428143,-0.477372,-0.433977,-0.26217,-0.265346,0.890629,-0.767956,1.115088,0.806578,0.835041,0.175371,-2.103604,-0.215045,-0.004687,-0.365307,1.024737,-0.087479,0.360208,1.010861,-0.414551,-0.349914,-0.881368,2.145099,-1.101061,1.339016,2.070477,1.494636,0.320439,-0.79385,-1.051002,0.481491,-0.129543,0.08523,1.399206,0.181437,1.285666,-1.114968,-0.422427,-1.179341,0.199765,-0.549822,-0.47474,-0.463403,-0.893339,0.498532,-0.631913,0.43942,1.114855,1
4,1.443777,-0.427789,1.37712,-0.260393,-0.253094,1.574362,-0.767956,1.405822,1.414985,1.657817,-0.619043,-0.281491,-0.474939,0.544182,0.730489,0.615953,0.94456,-0.973835,0.64883,-0.937719,-1.02336,-0.382136,-0.367678,-0.546801,-0.283258,0.366448,-1.693332,1.432825,-0.997018,-0.738487,-0.121088,-1.176523,0.081391,-0.381989,-0.178873,-0.536453,1.013497,0.074961,1.051042,0.252454,0.615462,-0.540856,-0.55117,0.446468,-0.595414,-0.134775,0.874529,-0.185508,1
4,-0.490484,-0.450614,-0.509141,-0.271854,-0.341947,0.839072,0.267601,0.721891,0.852255,1.022554,-1.032041,1.036274,1.94272,0.402756,0.57921,0.100324,1.246073,-1.046906,0.241448,-0.397684,-0.330065,-0.463875,0.323424,-0.811856,0.229295,-0.396536,1.028042,0.369648,-0.966066,-0.434595,-0.736203,0.242088,0.231732,-0.328589,-0.387271,0.082376,-0.598748,-0.590396,-0.423418,1.534661,0.37737,-0.630721,-0.673898,0.627937,0.087585,-0.416643,0.484289,-1.068721,1
4,-0.378413,1.230811,-0.387448,0.09165,0.737216,0.432444,1.931053,-0.04785,0.236268,0.612585,-1.632055,-0.250902,-1.424278,-0.887032,-0.542948,0.573832,0.360614,0.5565,0.543274,-1.010187,-1.127624,-0.661596,0.245661,-0.816527,0.979687,-1.406781,-1.413549,0.958601,1.119106,-0.564733,-0.735864,-0.049533,0.028772,-0.596947,-0.123968,-0.447323,1.43334,0.718019,1.45154,-0.181382,-0.28926,-0.238057,-0.164581,0.798142,0.085392,-0.723808,-0.459509,-0.455827,1
4,-0.429395,1.356543,-0.462052,-0.248835,-0.181993,0.512924,0.72637,0.325589,0.438921,0.601555,-0.92485,-1.61522,-0.82739,0.059633,0.341997,-0.489692,-0.248697,-0.475236,-0.446582,-0.377293,-0.306199,0.169257,-0.584423,-0.094634,-0.516482,1.50783,0.143436,-0.275692,-0.354542,0.076899,-0.909374,0.15165,-0.130685,-0.152248,-0.286505,-0.465871,-0.640511,-0.77702,-0.784965,-0.719858,-1.046776,-0.721427,-0.802182,0.363763,0.249261,-0.642843,-0.234304,0.632163,1
